ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe
"('chrXV', 780620, 780777)",+,,7.058,11.512925464970229,11.512925464970229,0.8131428571428565,0.2292857142857122,0.4337142857142871,7.0,0,0,0.8571428571428571,0.2857142857142857,0.42857142857142855,-7.7,0.0,54,1,0.29936305732484075
"('chrXII', 712225, 712655)",-,NM_001182175.1,23.383,11.512925464970229,11.512925464970229,0.4691428571428593,0.4741428571428585,0.7755714285714205,21.0,0,0,0.42857142857142855,0.5714285714285714,0.7142857142857143,-11.5,-2.2,121,1,0.2627906976744186
"('chrVI', 53877, 54186)",-,NM_001179927.1,32.912,11.512925464970229,11.512925464970229,0.3562857142857145,0.3029999999999991,0.6264285714285657,28.0,0,0,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,87,0,0.35275080906148865
"('chrXVI', 280873, 281003)",-,,13.666,11.512925464970229,11.512925464970229,0.7264285714285644,0.4649999999999969,0.5738571428571415,12.0,0,0,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.0,0.0,31,0,0.5846153846153846
"('chrXII', 39721, 39900)",-,NM_001181870.1,30.621,11.512925464970229,11.512925464970229,0.5771428571428511,0.7138571428571411,0.5152857142857111,31.0,0,0,0.7142857142857143,0.0,0.5714285714285714,0.0,-0.7,31,2,0.39664804469273746
"('chrII', 406527, 406622)",-,NM_001178430.1,21.218,11.512925464970229,0.348140041488895,0.5747142857142793,0.413857142857142,0.2224285714285717,22.0,0,-1,0.5714285714285714,0.5714285714285714,0.0,0.0,-5.6,11,0,0.6210526315789474
"('chrXVI', 139225, 139364)",+,NM_001184032.1,15.867,11.512925464970229,11.512925464970229,0.7822857142857129,0.5055714285714259,0.6307142857142842,16.0,0,0,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.0,0.0,43,0,0.34532374100719426
"('chrXV', 552165, 552374)",-,NM_001183541.3,33.073,0.999672340813206,2.551046452292545,0.1935714285714279,0.5151428571428541,0.247285714285713,50.0,0,0,0.0,0.5714285714285714,0.0,0.0,-3.6,34,2,0.4019138755980861
"('chrIV', 216657, 216989)",+,,25.1,11.512925464970229,11.512925464970229,0.0208571428571428,0.7879999999999961,0.4208571428571442,25.0,0,0,0.0,0.8571428571428571,0.5714285714285714,0.0,0.0,101,2,0.33433734939759036
"('chrIV', 238898, 239009)",-,NM_001180184.1,14.938,11.512925464970229,3.772261063052988,0.760714285714285,0.2841428571428551,0.9448571428571432,27.0,0,0,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.0,0.0,15,0,0.5315315315315315
