ChrPos,Strand,Name,LocalizationMetric_RNAstructure_DMS_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe_BPP,BPToEndStemMetric_RNAstructure_DMS_mfe_BPP,StartProtectionMetric_RNAstructure_DMS_mfe,EndProtectionMetric_RNAstructure_DMS_mfe,BPProtectionMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe_BPP,ZipperStemEndMetric_RNAstructure_DMS_mfe_BPP,LongestStemMetric_RNAstructure_DMS_mfe_BPP,NWJMetric_RNAstructure_DMS_mfe,MLDMetric_RNAstructure_DMS_mfe,LocalizationMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_mfe,BPToEndStemMetric_RNAstructure_mfe,StartProtectionMetric_RNAstructure_mfe,EndProtectionMetric_RNAstructure_mfe,BPProtectionMetric_RNAstructure_mfe,ZipperStemStartMetric_RNAstructure_mfe,ZipperStemEndMetric_RNAstructure_mfe,LongestStemMetric_RNAstructure_mfe,NWJMetric_RNAstructure_mfe,MLDMetric_RNAstructure_mfe,StartToBPStemMetric_RNAstructure_DMS_mfe,BPToEndStemMetric_RNAstructure_DMS_mfe,ZipperStemStartMetric_RNAstructure_DMS_mfe,ZipperStemEndMetric_RNAstructure_DMS_mfe,LongestStemMetric_RNAstructure_DMS_mfe,ThreeprimeDistStopFeature,RPKMFeature,LengthFeature
"('chrI', 78195, 78536)",+,,101.0,0,0,0.0,0.2857142857142857,0.1428571428571428,0.0,0.0,9,0,0.2727272727272727,41.0,0,0,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.0,0.0,104,2,0.3255131964809384,0,0,0.0,0.0,9,,,341
"('chrI', 122507, 122695)",+,,119.0,0,0,0.0,0.0,0.0,0.0,0.0,7,0,0.35638297872340424,26.0,0,0,0.0,0.8571428571428571,0.5714285714285714,0.0,0.0,46,0,0.4095744680851064,0,0,0.0,0.0,8,,,188
"('chrI', 123049, 123445)",+,,49.0,0,0,0.0,0.0,0.0,0.0,0.0,24,0,0.20959595959595959,12.0,-1,0,0.0,1.0,1.0,0.0,0.0,111,1,0.25,0,0,0.0,0.0,20,,,396
"('chrM', 21284, 21516)",+,,26.0,0,0,0.0,1.0,0.0,0.0,0.0,10,0,0.1896551724137931,29.0,0,0,0.8571428571428571,0.8571428571428571,0.7142857142857143,-4.9,-3.3,42,1,0.4353448275862069,0,0,0.0,0.0,12,,,232
"('chrM', 22132, 22610)",+,,28.0,0,0,0.5714285714285714,0.0,0.7142857142857143,0.0,0.0,18,1,0.17782426778242677,28.0,0,0,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.0,0.0,76,0,0.3723849372384937,0,0,0.0,0.0,40,,,478
"('chrM', 37670, 38152)",+,,92.0,0,0,0.0,0.0,0.5714285714285714,0.0,0.0,18,0,0.2095435684647303,18.0,0,0,0.4285714285714285,0.0,0.8571428571428571,0.0,0.0,110,2,0.3236514522821577,0,0,0.0,0.0,20,,,482
"('chrM', 41294, 41631)",+,,50.0,0,0,0.0,0.2857142857142857,0.5714285714285714,0.0,0.0,32,0,0.18694362017804153,37.0,0,0,0.5714285714285714,1.0,0.5714285714285714,0.0,0.0,82,0,0.4688427299703264,0,0,0.0,0.0,26,,,337
"('chrV', 78106, 78345)",+,,117.0,0,0,0.7142857142857143,1.0,0.8571428571428571,0.0,0.0,10,0,0.2384937238493724,24.0,0,-1,0.8571428571428571,1.0,1.0,-10.1,0.0,50,0,0.3891213389121339,0,-1,0.0,0.0,11,,,239
"('chrV', 92811, 93213)",+,,24.0,0,0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,8,0,0.18407960199004975,21.0,0,0,0.0,0.4285714285714285,0.5714285714285714,0.0,0.0,104,2,0.3109452736318407,0,0,0.0,0.0,8,,,402
"('chrV', 105695, 106042)",-,,53.0,0,0,0.0,0.0,0.0,0.0,-7.3,16,0,0.19596541786743515,44.0,0,0,1.0,0.5714285714285714,0.0,0.0,0.0,93,1,0.3746397694524496,0,0,0.0,-7.3,19,,,347
