ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrI', 1, 64)",+,,19.674,11.512925464970229,11.512925464970229,0.0624285714285713,0.0524285714285714,0.1428571428571428,0.0,0.0,7.584,0.5746031746031746,63
"('chrI', 1, 258)",+,,9.065,0.2744368457017603,11.512925464970229,0.2605714285714283,0.2868571428571426,0.6831428571428506,0.0,0.0,19.477,0.24435797665369652,257
"('chrI', 1, 75)",+,,16.321,1.1086626245216111,0.1566538100453768,0.1694285714285716,0.5161428571428528,0.6525714285714235,0.0,0.0,11.423,0.45270270270270274,74
"('chrI', 1, 61)",+,,8.678,0.1075852106799374,11.512925464970229,0.3674285714285719,0.1417142857142859,0.5215714285714291,0.0,0.0,12.952,0.53,60
"('chrI', 1, 74)",+,,15.161,11.512925464970229,11.512925464970229,0.0178571428571428,0.4170000000000015,0.7578571428571357,0.0,0.0,13.871,0.44657534246575337,73
"('chrI', 1, 226)",+,,12.302,5.809142990314028,11.512925464970229,0.7334285714285705,0.2311428571428556,0.6912857142857062,0.0,0.0,23.192,0.2871111111111111,225
"('chrI', 1, 53)",+,,14.451,4.509860006183766,11.512925464970229,0.6114285714285654,0.504857142857144,0.2659999999999972,0.0,0.0,9.939,0.41346153846153844,52
"('chrI', 1, 57)",+,,16.948,4.199705077879927,11.512925464970229,0.5832857142857126,0.5621428571428586,0.5804285714285735,0.0,0.0,10.732,0.5107142857142856,56
"('chrI', 1, 194)",+,,20.596,5.809142990314028,11.512925464970229,0.0444285714285714,0.4347142857142885,0.2592857142857114,0.0,0.0,20.073,0.28963730569948193,193
"('chrI', 1, 208)",+,,7.574,0.2306718177350012,11.512925464970229,0.502285714285711,0.4035714285714286,0.5757142857142846,-19.757692307692313,0.0,13.806,0.27294685990338163,207
"('chrI', 1, 292)",+,,12.677,11.512925464970229,11.512925464970229,0.4847142857142889,0.8344285714285726,0.7207142857142764,0.0,0.0,30.929,0.29725085910652915,291
"('chrI', 1, 123)",+,,6.041,11.512925464970229,11.512925464970229,0.5078571428571479,0.3348571428571433,0.8689999999999996,-21.006153846153854,0.0,14.745,0.319672131147541,122
"('chrI', 1, 239)",+,,19.304,4.135166556742356,4.135166556742356,0.0324285714285714,0.684428571428564,0.3024285714285709,-8.9,0.0,21.982,0.3029411764705882,238
"('chrI', 1, 68)",+,,13.965,2.111964733385396,11.512925464970229,0.2869999999999984,0.4235714285714274,0.3219999999999992,0.0,0.0,6.484,0.4208955223880596,67
"('chrI', 1, 150)",+,,6.904,11.512925464970229,11.512925464970229,0.7048571428571394,0.3014285714285702,0.5248571428571389,-19.397590361445793,0.0,17.847,0.3194630872483221,149
"('chrI', 1, 58)",+,,22.011,6.214608098422191,11.512925464970229,0.2635714285714262,0.5574285714285695,0.4331428571428598,0.0,0.0,10.9,0.5157894736842105,57
"('chrI', 1, 217)",+,,11.907,11.512925464970229,11.512925464970229,0.4122857142857161,0.301857142857141,0.7927142857142815,0.0,0.0,32.705,0.3962962962962963,216
"('chrI', 1, 56)",+,,9.541,11.512925464970229,11.512925464970229,0.4708571428571452,0.2258571428571419,0.580857142857143,0.0,0.0,10.995,0.4418181818181818,55
"('chrI', 1, 202)",+,,12.178,11.512925464970229,11.512925464970229,0.704142857142848,0.4215714285714312,0.990714285714286,0.0,0.0,38.005,0.4308457711442785,201
"('chrI', 1, 173)",+,,12.112,11.512925464970229,11.512925464970229,0.7144285714285615,0.4442857142857183,0.5038571428571434,-8.7,0.0,21.418,0.3412790697674419,172
"('chrI', 1, 79)",+,,2.065,-0.0,11.512925464970229,0.6455714285714217,0.0761428571428572,0.5395714285714281,0.0,0.0,20.899,0.4884615384615385,78
"('chrI', 1, 57)",+,,18.739,4.017383521085972,11.512925464970229,0.3107142857142859,0.5245714285714297,0.8207142857142853,0.0,0.0,9.714,0.48035714285714287,56
"('chrI', 1, 78)",+,,17.31,2.128631785870608,11.512925464970229,0.6059999999999998,0.4285714285714295,0.4155714285714305,-1.65,0.0,12.968,0.5116883116883117,77
"('chrI', 1, 74)",+,,14.021,6.907755278982137,11.512925464970229,0.1945714285714275,0.355857142857144,0.6988571428571341,0.0,0.0,19.149,0.44246575342465755,73
