ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens,LengthFeature
"('chrI', 1, 95)",+,,16.474,11.512925464970229,6.214608098422191,0.4538571428571458,0.3349999999999983,0.2532857142857135,-7.8788235294117515,0.0,16.867,0.37127659574468086,94
"('chrI', 1, 350)",+,,33.213,11.512925464970229,4.961845129926823,0.1928571428571414,0.8160000000000026,0.5819999999999947,0.0,0.0,72.713,0.3707736389684814,349
"('chrI', 1, 112)",+,,30.824,11.512925464970229,11.512925464970229,0.1401428571428577,0.7611428571428527,0.5639999999999951,0.0,-1.4285714285714286,17.456,0.3621621621621622,111
"('chrI', 1, 76)",+,,13.748,11.512925464970229,11.512925464970229,0.6514285714285658,0.067,0.304142857142857,0.0,0.0,12.543,0.5106666666666666,75
"('chrI', 1, 130)",+,,30.998,6.907755278982137,11.512925464970229,0.1610000000000002,0.1995714285714266,0.5682857142857107,-9.657142857142848,0.0,15.082,0.34728682170542646,129
"('chrI', 1, 530)",+,,20.032,0.8627499649461253,4.135166556742356,0.1525714285714285,0.2930000000000002,0.7221428571428534,0.0,0.0,31.483,0.21984877126654068,529
"('chrI', 1, 466)",+,,25.458,11.512925464970229,11.512925464970229,0.3521428571428583,0.6118571428571392,0.4972857142857142,0.0,-5.21294117647058,29.983,0.18881720430107526,465
"('chrI', 1, 101)",+,,26.871,11.512925464970229,0.1755445725149309,0.042,0.6427142857142812,0.8464285714285742,0.0,-6.699999999999992,17.581,0.363,100
"('chrI', 1, 115)",+,,22.928,1.0244328904938582,3.816712825623821,0.5312857142857139,0.6037142857142829,0.3320000000000004,-2.8,-5.0,12.21,0.4087719298245614,114
"('chrI', 1, 89)",+,,30.534,11.512925464970229,11.512925464970229,0.2691428571428573,0.1198571428571423,0.5377142857142857,0.0,0.0,16.989,0.4647727272727272,88
"('chrI', 1, 69)",+,,34.863,11.512925464970229,11.512925464970229,0.01,0.2169999999999996,0.2051428571428559,0.0,0.0,6.387,0.5999999999999999,68
"('chrI', 1, 68)",+,,21.675,11.512925464970229,0.2369889581362627,0.573999999999994,0.5988571428571403,0.0712857142857143,0.0,0.0,6.19,0.6492537313432835,67
"('chrI', 1, 315)",+,,43.111,11.512925464970229,6.907755278982137,0.2052857142857128,0.6262857142857104,0.5849999999999974,-6.5,0.0,23.005,0.27611464968152866,314
"('chrI', 1, 389)",+,,20.162,1.725971728690052,0.5108256237659907,0.6601428571428506,0.1055714285714283,0.2611428571428572,0.0,-3.8592592592592627,19.344,0.2600515463917526,388
