ChrPos,Strand,Name,LocalizationMetric_Vienna_ens,StartToBPStemMetric_Vienna_ens,BPToEndStemMetric_Vienna_ens,StartProtectionMetric_Vienna_ens,EndProtectionMetric_Vienna_ens,BPProtectionMetric_Vienna_ens,ZipperStemStartMetric_Vienna_ens,ZipperStemEndMetric_Vienna_ens,LongestStemMetric_Vienna_ens,MLDMetric_Vienna_ens
"('chrI', 1, 91)",+,,13.152,6.907755278982137,11.512925464970229,0.6978571428571461,0.258714285714286,0.3698571428571418,-4.099999999999996,0.0,11.13,0.45111111111111113
"('chrI', 1, 367)",+,,16.8,5.809142990314028,2.6882475738060303,0.3552857142857138,0.1872857142857144,0.4640000000000003,-12.661290322580639,-2.61639344262295,21.873,0.28142076502732244
"('chrI', 1, 114)",+,,35.356,11.512925464970229,11.512925464970229,0.5988571428571434,0.2832857142857112,0.2722857142857117,0.0,-3.37,17.45,0.384070796460177
"('chrI', 1, 76)",+,,5.114,0.9781661355922424,11.512925464970229,0.8517142857142894,0.0158571428571428,0.4907142857142871,0.0,0.0,16.559,0.5519999999999999
"('chrI', 1, 129)",+,,34.742,11.512925464970229,11.512925464970229,0.6162857142857114,0.1029999999999995,0.1805714285714272,-3.4,0.0,21.8,0.42578125
"('chrI', 1, 507)",+,,18.465,11.512925464970229,11.512925464970229,0.6801428571428505,0.8558571428571387,0.9678571428571444,0.0,0.0,43.055,0.2824110671936759
"('chrI', 1, 385)",+,,15.242,3.688879454113936,11.512925464970229,0.6245714285714278,0.3308571428571437,0.2254285714285716,-13.3,-1.3,19.781,0.221875
"('chrI', 1, 98)",+,,7.78,0.2045671657412744,11.512925464970229,0.5332857142857106,0.0624285714285713,0.6619999999999969,0.0,-4.392307692307694,19.934,0.4391752577319587
"('chrI', 1, 117)",+,,14.633,3.963316299815697,0.0523464803722092,0.3214285714285708,0.6044285714285687,0.7302857142857142,-4.700000000000002,-10.86753246753247,22.164,0.3448275862068966
"('chrI', 1, 86)",+,,5.246,0.1381133021296342,11.512925464970229,0.8652857142857188,0.0158571428571428,0.2847142857142828,0.0,0.0,10.549,0.6152941176470588
"('chrI', 1, 70)",+,,18.031,6.907755278982137,11.512925464970229,0.5294285714285685,0.6669999999999932,0.6691428571428498,0.0,0.0,11.762,0.40869565217391307
"('chrI', 1, 76)",+,,2.556,0.0050125418235442,11.512925464970229,0.6382857142857115,0.2685714285714258,0.4939999999999961,0.0,0.0,16.102,0.4999999999999999
"('chrI', 1, 309)",+,,13.974,4.135166556742356,0.4369557751995351,0.4754285714285729,0.3118571428571406,0.4564285714285727,-16.0,-4.35,21.894,0.28279220779220776
"('chrI', 1, 361)",+,,13.15,0.7614260213132397,2.4651040224918206,0.4579999999999998,0.0752857142857143,0.2357142857142847,-19.783783783783758,0.0,23.392,0.29277777777777775
"('chrI', 1, 505)",+,,14.44,11.512925464970229,0.1187835359899669,0.545714285714288,0.3897142857142848,0.5994285714285671,0.0,-15.63809523809524,22.326,0.17123015873015876
"('chrI', 1, 472)",+,,32.147,4.509860006183766,6.214608098422191,0.4565714285714279,0.2958571428571425,0.1345714285714277,-14.601785714285707,-3.5935483870967744,39.503,0.2454352441613588
"('chrI', 1, 89)",+,,11.159,1.4312917270506265,11.512925464970229,0.5092857142857102,0.2675714285714273,0.5371428571428586,-7.3,0.0,14.684,0.3693181818181819
"('chrI', 1, 334)",+,,18.699,1.3903023825174294,2.1803674602697964,0.488428571428572,0.2124285714285715,0.5794285714285714,-21.984693877551024,-1.0,21.207,0.3183183183183183
"('chrI', 1, 340)",+,,26.265,5.809142990314028,11.512925464970229,0.7247142857142858,0.0417142857142857,0.3467142857142852,-16.38,0.0,25.438,0.2967551622418879
"('chrI', 1, 512)",+,,16.624,6.907755278982137,11.512925464970229,0.9901428571428574,0.7124285714285616,0.2141428571428554,-11.530434782608696,0.0,23.224,0.22700587084148727
"('chrI', 1, 83)",+,,31.312,11.512925464970229,3.912023005428146,0.5291428571428537,0.3947142857142872,0.1741428571428568,0.0,-5.4,9.923,0.502439024390244
"('chrI', 1, 331)",+,,16.584,0.818710403535291,11.512925464970229,0.7201428571428564,0.064,0.2224285714285693,-16.156565656565657,0.0,30.01,0.3748484848484849
"('chrI', 1, 96)",+,,39.696,3.540459448995663,11.512925464970229,0.0314285714285714,0.4912857142857135,0.6044285714285685,-3.9,0.0,16.959,0.5157894736842105
"('chrI', 1, 91)",+,,19.963,11.512925464970229,2.2537949288246137,0.4152857142857133,0.0894285714285714,0.4169999999999993,0.0,-3.5,16.644,0.5
